,airline,departure,destination,layover,price,stops,travelTime
132,American Airlines,CHS,PHX,CLT,418,1,7.93
133,American Airlines,CHS,PHX,CLT,418,1,8.7
134,United,CHS,PHX,IAH,419,1,6.47
135,United,CHS,PHX,IAH,419,1,6.65
136,United,CHS,PHX,ORD,419,1,7.7
137,United,CHS,PHX,ORD,419,1,7.83
138,American Airlines,CHS,PHX,DFW,419,1,9.27
139,United,CHS,PHX,IAD,459,1,7.93
140,Alaska Airlines,CHS,PHX,SEA,582,1,10.5
141,American Airlines,CHS,PHX,CLT,"1,077",1,6.73
142,American Airlines,CHS,PHX,CLT,"1,077",1,8.25
143,American Airlines,CHS,PHX,CLT,"1,077",1,9.88
144,Frontier Airlines,CHS,DEN,ZZZ,179,0,3.7
145,American Airlines,CHS,DEN,CLT,223,1,5.7
146,American Airlines,CHS,DEN,CLT,223,1,6.5
147,American Airlines,CHS,DEN,CLT,223,1,8.2
148,Delta,CHS,DEN,ATL,239,1,6.48
149,Delta,CHS,DEN,ATL,239,1,7.38
150,Delta,CHS,DEN,ATL,239,1,7.48
151,Delta,CHS,DEN,ATL,239,1,7.58
152,Delta,CHS,DEN,ATL,239,1,8.07
153,United,CHS,DEN,ORD,264,1,8.72
154,American Airlines,CHS,DEN,CLT,288,1,6.0
155,American Airlines,CHS,DEN,CLT,288,1,6.83
156,American Airlines,CHS,DEN,CLT,288,1,7.6
157,United,CHS,DEN,IAH,307,1,6.08
158,Delta,CHS,DEN,ATL,307,1,6.38
159,Delta,CHS,DEN,ATL,307,1,6.43
160,United,CHS,DEN,ORD,307,1,6.45
161,Delta,CHS,DEN,ATL,307,1,6.47
162,United,CHS,DEN,ORD,307,1,6.88
163,United,CHS,DEN,ORD,307,1,7.72
164,American Airlines,CHS,DEN,CLT,348,1,6.58
165,American Airlines,CHS,DEN,CLT,348,1,6.63
166,American Airlines,CHS,DEN,CLT,348,1,8.08
167,JetBlue Airways,CHS,DEN,BOS,359,1,9.08
168,JetBlue Airways,CHS,DEN,BOS,359,1,10.38
169,American Airlines,CHS,DEN,DFW,370,1,6.32
170,Delta,CHS,DEN,ATL,399,1,5.0
171,Delta,CHS,DEN,ATL,399,1,5.38
172,Delta,CHS,DEN,ATL,399,1,5.9
173,Delta,CHS,DEN,ATL,399,1,6.0
174,United,CHS,DEN,IAD,399,1,6.38
175,Delta,CHS,DEN,ATL,399,1,7.07
176,Delta,CHS,DEN,ATL,399,1,8.0
177,United,CHS,DEN,IAD,426,1,7.63
178,United,CHS,DEN,IAH,435,1,6.53
179,United,CHS,DEN,EWR,435,1,7.65
180,United,CHS,DEN,EWR,435,1,9.17
181,United,CHS,DEN,IAD,517,1,6.13
182,Delta,CHS,DEN,ATL,597,1,6.75
183,Delta,CHS,ATL,ZZZ,179,0,1.15
184,Delta,CHS,ATL,ZZZ,179,0,1.18
185,Delta,CHS,ATL,ZZZ,179,0,1.2
186,Delta,CHS,ATL,ZZZ,179,0,1.2
187,Delta,CHS,ATL,ZZZ,179,0,1.22
188,Delta,CHS,ATL,ZZZ,179,0,1.33
189,Delta,CHS,ATL,ZZZ,179,0,1.33
190,Delta,CHS,ATL,ZZZ,179,0,1.4
