,airline,departure,destination,layover,price,stops,travelTime
516,American Airlines,CHS,SFO,CLT,426,1,7.85
517,American Airlines,CHS,SFO,CLT,426,1,8.08
518,American Airlines,CHS,SFO,CLT,426,1,9.47
519,American Airlines,CHS,SFO,CLT,426,1,9.58
520,American Airlines,CHS,SFO,ORD,427,1,7.8
521,American Airlines,CHS,SFO,DFW,427,1,8.05
522,JetBlue Airways,CHS,SFO,JFK,497,1,15.6
523,United,CHS,SFO,EWR,501,1,8.92
524,United,CHS,SFO,EWR,501,1,9.6
525,United,CHS,SFO,EWR,501,1,10.4
526,United,CHS,SFO,EWR,501,1,11.32
527,United,CHS,SFO,EWR,501,1,11.57
528,United,CHS,SFO,IAD,507,1,9.52
529,JetBlue Airways,CHS,SFO,JFK,515,1,13.48
530,JetBlue Airways,CHS,SFO,BOS,524,1,11.0
531,JetBlue Airways,CHS,SFO,BOS,524,1,12.3
532,United,CHS,SFO,IAH,529,1,8.25
533,United,CHS,SFO,EWR,529,1,9.15
534,JetBlue Airways,CHS,SFO,BOS,530,1,14.28
535,JetBlue Airways,CHS,SFO,BOS,530,1,15.58
536,United,CHS,SFO,IAD,567,1,7.97
537,JetBlue Airways,CHS,SFO,BOS,592,1,10.9
538,Alaska Airlines,CHS,SFO,SEA,592,1,9.83
539,American Airlines,CHS,SFO,CLT,"1,037",1,7.65
540,United,CHS,IAH,ZZZ,178,0,2.83
541,United,CHS,IAH,IAD,186,1,5.42
542,United,CHS,IAH,ZZZ,199,0,2.83
543,American Airlines,CHS,IAH,CLT,235,1,7.7
544,Delta,CHS,IAH,ATL,236,1,4.85
545,Delta,CHS,IAH,ATL,236,1,5.83
546,American Airlines,CHS,IAH,DFW,236,1,7.25
547,United,CHS,IAH,ZZZ,258,0,2.83
548,American Airlines,CHS,IAH,CLT,265,1,5.03
549,American Airlines,CHS,IAH,CLT,265,1,5.8
550,American Airlines,CHS,IAH,CLT,265,1,7.07
551,American Airlines,CHS,IAH,DFW,266,1,5.3
552,Delta,CHS,IAH,ATL,266,1,7.05
553,United,CHS,IAH,IAD,307,1,5.75
554,American Airlines,CHS,IAH,DFW,322,1,7.05
555,American Airlines,CHS,IAH,CLT,345,1,4.67
556,American Airlines,CHS,IAH,CLT,345,1,4.73
557,American Airlines,CHS,IAH,CLT,345,1,4.75
558,American Airlines,CHS,IAH,CLT,345,1,5.23
559,American Airlines,CHS,IAH,CLT,345,1,5.45
560,American Airlines,CHS,IAH,CLT,345,1,6.17
561,American Airlines,CHS,IAH,CLT,345,1,7.13
562,Delta,CHS,IAH,ATL,347,1,4.07
563,Delta,CHS,IAH,ATL,347,1,4.45
564,Delta,CHS,IAH,ATL,347,1,4.47
565,Delta,CHS,IAH,ATL,347,1,4.6
566,American Airlines,CHS,IAH,DFW,347,1,5.05
567,American Airlines,CHS,IAH,MIA,347,1,5.6
568,Delta,CHS,IAH,ATL,347,1,5.72
569,Delta,CHS,IAH,ATL,347,1,6.13
570,Delta,CHS,IAH,ATL,347,1,6.2
571,Delta,CHS,IAH,ATL,347,1,7.2
572,Delta,CHS,IAH,ATL,347,1,7.42
573,Delta,CHS,IAH,ATL,394,1,4.2
574,Delta,CHS,IAH,ATL,394,1,5.73
575,United,CHS,IAH,IAD,394,1,5.73
576,United,CHS,IAH,IAD,394,1,5.97
577,American Airlines,CHS,IAH,CLT,473,1,6.77
578,Delta,CHS,IAH,LGA,515,1,7.07
579,American Airlines,CHS,DTW,CLT,182,1,4.28
580,American Airlines,CHS,DTW,CLT,182,1,4.28
581,American Airlines,CHS,DTW,CLT,182,1,5.05
582,United,CHS,DTW,ORD,187,1,6.98
583,American Airlines,CHS,DTW,CLT,225,1,4.1
584,American Airlines,CHS,DTW,CLT,225,1,5.93
585,American Airlines,CHS,DTW,CLT,225,1,5.98
586,Delta,CHS,DTW,ZZZ,249,0,2.02
587,Delta,CHS,DTW,ATL,257,1,3.7
588,Delta,CHS,DTW,ATL,257,1,3.93
589,Delta,CHS,DTW,ATL,257,1,5.82
590,Delta,CHS,DTW,ATL,257,1,6.15
591,Delta,CHS,DTW,ATL,257,1,7.03
592,American Airlines,CHS,DTW,DFW,311,1,9.22
593,American Airlines,CHS,DTW,CLT,317,1,3.63
594,American Airlines,CHS,DTW,PHL,318,1,6.0
595,American Airlines,CHS,DTW,CLT,352,1,3.85
596,American Airlines,CHS,DTW,CLT,352,1,5.35
597,JetBlue Airways,CHS,DTW,BOS,366,1,5.25
598,United,CHS,DTW,IAD,369,1,3.73
599,United,CHS,DTW,IAD,369,1,3.73
600,United,CHS,DTW,IAD,369,1,3.95
601,United,CHS,DTW,ORD,378,1,7.43
602,Delta,CHS,DTW,ZZZ,389,0,2.12
603,United,CHS,DTW,EWR,391,1,6.98
604,United,CHS,DTW,IAD,397,1,4.23
605,Delta,CHS,DTW,ATL,397,1,4.37
606,Delta,CHS,DTW,ATL,397,1,4.47
607,United,CHS,DTW,EWR,397,1,5.07
608,United,CHS,DTW,ORD,397,1,5.23
609,United,CHS,DTW,EWR,397,1,5.73
610,Delta,CHS,DTW,ATL,397,1,6.2
611,United,CHS,DTW,EWR,397,1,6.95
612,Delta,CHS,DTW,ATL,397,1,7.07
613,American Airlines,CHS,DTW,CLT,476,1,4.33
614,Delta,CHS,DTW,ATL,478,1,4.33
615,Delta,CHS,DTW,ATL,478,1,4.52
616,Delta,CHS,DTW,ATL,478,1,4.57
617,Delta,CHS,DTW,ATL,478,1,5.07
618,Delta,CHS,DTW,LGA,478,1,5.28
619,Delta,CHS,DTW,JFK,478,1,5.32
620,Delta,CHS,DTW,ATL,478,1,5.33
621,Delta,CHS,DTW,ATL,478,1,5.38
622,Delta,CHS,DTW,ATL,478,1,5.58
623,Delta,CHS,DTW,ATL,478,1,5.77
624,American Airlines,CHS,DTW,PHL,478,1,5.88
625,Delta,CHS,DTW,ATL,478,1,6.33
626,Delta,CHS,DTW,LGA,478,1,7.22
627,JetBlue Airways,CHS,DTW,BOS,500,1,5.4
628,Delta,CHS,LAX,ATL,239,1,6.67
629,Delta,CHS,LAX,ATL,239,1,6.85
630,Delta,CHS,LAX,ATL,239,1,6.95
631,Delta,CHS,LAX,ATL,239,1,7.85
632,Delta,CHS,LAX,ATL,239,1,9.0
633,Frontier Airlines,CHS,LAX,DEN,307,1,7.25
634,JetBlue Airways,CHS,LAX,JFK,332,1,15.75
635,United,CHS,LAX,IAD,333,1,8.08
636,JetBlue Airways,CHS,LAX,JFK,346,1,9.32
637,Delta,CHS,LAX,ATL,350,1,6.7
638,Delta,CHS,LAX,ATL,350,1,6.87
639,Delta,CHS,LAX,ATL,350,1,7.0
640,Delta,CHS,LAX,ATL,350,1,7.33
641,Delta,CHS,LAX,ATL,350,1,7.43
642,Delta,CHS,LAX,ATL,350,1,7.58
643,Delta,CHS,LAX,ATL,350,1,7.83
644,Delta,CHS,LAX,ATL,350,1,8.0
645,Delta,CHS,LAX,DTW,350,1,8.08
646,Delta,CHS,LAX,ATL,350,1,8.17
647,Delta,CHS,LAX,ATL,350,1,8.33
648,Delta,CHS,LAX,ATL,350,1,8.38
649,Delta,CHS,LAX,ATL,350,1,8.47
650,Delta,CHS,LAX,JFK,350,1,8.73
651,Delta,CHS,LAX,ATL,350,1,8.83
652,Delta,CHS,LAX,ATL,350,1,8.9
653,Delta,CHS,LAX,ATL,350,1,9.17
654,Delta,CHS,LAX,JFK,350,1,9.27
655,Delta,CHS,LAX,ATL,350,1,9.33
656,Delta,CHS,LAX,JFK,350,1,9.42
657,Delta,CHS,LAX,ATL,350,1,9.47
658,Delta,CHS,LAX,ATL,350,1,9.52
659,Delta,CHS,LAX,ATL,350,1,9.98
660,Delta,CHS,LAX,ATL,350,1,9.98
661,Delta,CHS,LAX,DTW,350,1,10.57
662,Delta,CHS,LAX,JFK,350,1,10.58
663,Delta,CHS,LAX,JFK,350,1,11.33
664,JetBlue Airways,CHS,LAX,FLL,373,1,9.05
665,United,CHS,LAX,IAD,390,1,7.73
666,United,CHS,LAX,ORD,390,1,8.93
667,United,CHS,LAX,IAD,390,1,9.23
668,JetBlue Airways,CHS,LAX,JFK,416,1,9.3
669,JetBlue Airways,CHS,LAX,JFK,422,1,15.7
670,American Airlines,CHS,LAX,CLT,427,1,7.58
671,American Airlines,CHS,LAX,CLT,427,1,7.63
672,American Airlines,CHS,LAX,CLT,427,1,7.78
673,American Airlines,CHS,LAX,CLT,427,1,7.98
674,American Airlines,CHS,LAX,CLT,427,1,8.47
675,American Airlines,CHS,LAX,CLT,427,1,9.2
676,American Airlines,CHS,LAX,CLT,427,1,9.28
677,American Airlines,CHS,LAX,CLT,427,1,9.82
678,American Airlines,CHS,LAX,CLT,427,1,10.05
679,United,CHS,LAX,IAH,428,1,7.33
680,United,CHS,LAX,ORD,450,1,8.27
681,United,CHS,LAX,ORD,450,1,8.27
682,United,CHS,LAX,EWR,479,1,9.58
683,United,CHS,LAX,EWR,479,1,10.58
684,United,CHS,LAX,IAD,481,1,8.38
685,Frontier Airlines,CHS,SEA,DEN,293,1,7.63
686,Delta,CHS,SEA,ATL,350,1,8.62
687,United,CHS,SEA,IAH,350,1,8.82
688,Delta,CHS,SEA,ATL,350,1,9.83
689,American Airlines,CHS,SEA,DFW,350,1,10.53
690,American Airlines,CHS,SEA,DFW,374,1,9.32
691,American Airlines,CHS,SEA,CLT,378,1,7.52
692,American Airlines,CHS,SEA,DFW,379,1,8.4
693,American Airlines,CHS,SEA,MIA,379,1,12.3
694,Delta,CHS,SEA,ATL,390,1,7.35
695,Delta,CHS,SEA,ATL,390,1,7.48
696,Delta,CHS,SEA,ATL,390,1,8.23
697,Delta,CHS,SEA,ATL,390,1,8.48
698,United,CHS,SEA,ORD,390,1,8.65
699,Delta,CHS,SEA,ATL,390,1,8.95
700,Delta,CHS,SEA,ATL,390,1,9.02
701,Delta,CHS,SEA,ATL,390,1,9.48
702,Delta,CHS,SEA,ATL,390,1,9.95
703,Delta,CHS,SEA,ATL,390,1,10.27
704,JetBlue Airways,CHS,SEA,JFK,443,1,14.55
705,American Airlines,CHS,SEA,DFW,465,1,8.53
706,United,CHS,SEA,IAD,475,1,7.82
707,United,CHS,SEA,IAD,475,1,8.4
708,Alaska Airlines,CHS,SEA,ZZZ,499,0,5.92
709,United,CHS,SEA,IAD,507,1,8.23
710,United,CHS,SEA,ORD,507,1,8.48
711,United,CHS,SEA,IAH,507,1,8.82
712,United,CHS,SEA,IAH,507,1,8.9
713,Delta,CHS,SEA,ATL,529,1,7.52
714,Delta,CHS,SEA,ATL,529,1,9.2
715,Delta,CHS,SEA,DTW,529,1,10.02
716,American Airlines,CHS,SEA,CLT,535,1,7.85
717,American Airlines,CHS,SEA,CLT,535,1,8.17
718,American Airlines,CHS,SEA,CLT,535,1,9.78
719,JetBlue Airways,CHS,SEA,JFK,563,1,12.78
720,JetBlue Airways,CHS,SEA,BOS,604,1,11.6
721,JetBlue Airways,CHS,SEA,BOS,610,1,12.9
722,American Airlines,CHS,BOS,PHL,163,1,5.63
723,American Airlines,CHS,BOS,CLT,206,1,5.15
724,American Airlines,CHS,BOS,DCA,207,1,3.62
725,United,CHS,BOS,IAD,207,1,4.35
726,JetBlue Airways,CHS,BOS,ZZZ,232,0,2.23
727,JetBlue Airways,CHS,BOS,ZZZ,232,0,2.3
728,JetBlue Airways,CHS,BOS,JFK,236,1,10.93
729,JetBlue Airways,CHS,BOS,DCA,241,1,3.48
730,JetBlue Airways,CHS,BOS,DCA,241,1,6.52
731,JetBlue Airways,CHS,BOS,JFK,243,1,4.27
732,American Airlines,CHS,BOS,CLT,256,1,4.37
733,American Airlines,CHS,BOS,CLT,256,1,6.2
734,American Airlines,CHS,BOS,CLT,256,1,6.85
735,Delta,CHS,BOS,ATL,257,1,4.48
736,American Airlines,CHS,BOS,PHL,257,1,5.0
737,Delta,CHS,BOS,ATL,257,1,5.85
738,Delta,CHS,BOS,ATL,257,1,5.9
739,JetBlue Airways,CHS,BOS,DCA,259,1,7.77
740,JetBlue Airways,CHS,BOS,DCA,268,1,7.07
741,American Airlines,CHS,BOS,DCA,299,1,4.8
742,JetBlue Airways,CHS,BOS,ZZZ,299,0,2.37
743,United,CHS,BOS,IAD,307,1,3.83
744,United,CHS,BOS,IAD,307,1,4.02
745,American Airlines,CHS,BOS,CLT,326,1,4.08
746,American Airlines,CHS,BOS,CLT,326,1,4.3
747,American Airlines,CHS,BOS,CLT,326,1,4.4
748,American Airlines,CHS,BOS,CLT,326,1,4.6
749,American Airlines,CHS,BOS,PHL,327,1,4.45
750,American Airlines,CHS,BOS,PHL,327,1,4.7
751,Delta,CHS,BOS,ZZZ,337,0,2.48
752,United,CHS,BOS,IAD,345,1,3.77
753,United,CHS,BOS,EWR,345,1,4.17
754,United,CHS,BOS,EWR,345,1,4.48
755,Delta,CHS,BOS,ATL,345,1,4.75
756,Delta,CHS,BOS,LGA,345,1,4.82
757,Delta,CHS,BOS,LGA,345,1,4.82
758,Delta,CHS,BOS,JFK,345,1,5.3
759,Delta,CHS,BOS,JFK,345,1,5.52
760,United,CHS,BOS,EWR,345,1,6.13
761,United,CHS,BOS,ORD,345,1,6.18
762,United,CHS,BOS,EWR,345,1,6.73
763,Delta,CHS,BOS,LGA,345,1,6.9
764,United,CHS,BOS,EWR,365,1,7.98
765,United,CHS,BOS,EWR,365,1,8.73
766,United,CHS,BOS,EWR,365,1,10.15
767,United,CHS,BOS,EWR,365,1,11.07
768,American Airlines,CHS,BOS,DCA,373,1,3.95
769,United,CHS,BOS,IAD,377,1,8.25
770,Delta,CHS,BOS,ATL,395,1,6.48
771,Delta,CHS,BOS,ATL,395,1,7.57
772,United,CHS,BOS,EWR,444,1,8.9
773,American Airlines,CHS,BOS,CLT,452,1,4.58
774,American Airlines,CHS,BOS,CLT,452,1,5.4
775,American Airlines,CHS,BOS,CLT,452,1,6.28
776,Delta,CHS,BOS,ATL,453,1,4.88
777,Delta,CHS,BOS,ATL,453,1,5.05
778,Delta,CHS,BOS,ATL,453,1,5.97
779,Delta,CHS,BOS,ATL,455,1,9.62
780,Delta,CHS,BOS,ATL,485,1,8.02
781,Delta,CHS,BOS,ATL,585,1,8.53
782,Delta,CHS,BOS,ATL,585,1,8.57
783,Delta,CHS,BOS,ATL,600,1,5.08
784,Delta,CHS,BOS,ATL,600,1,6.33
785,Delta,CHS,BOS,ATL,600,1,6.93
786,Delta,CHS,BOS,ATL,600,1,7.32
787,Delta,CHS,BOS,JFK,640,1,9.87
