,airline,departure,departureLat,departureLong,destination,destinationLat,destinationLong,layover,layoverLat,layoverLong,price,stops,travelTime
108,Delta,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,ATL,33.640545,-84.43341,229,1,7.6
109,Delta,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,ATL,33.640545,-84.43341,229,1,8.43
110,Delta,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,JFK,40.645123,-73.78461,229,1,8.6
111,Delta,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,ATL,33.640545,-84.43341,229,1,8.83
112,American Airlines,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,CLT,35.220448,-80.94377,290,1,8.47
113,United,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,ORD,41.97707,-87.901184,291,1,7.92
114,United,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,IAH,29.9872,-95.34774,291,1,8.68
115,Frontier Airlines,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,DEN,39.84973,-104.67398,312,1,7.0
116,United,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,IAH,29.9872,-95.34774,317,1,8.97
117,Delta,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,ATL,33.640545,-84.43341,319,1,6.52
118,Delta,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,ATL,33.640545,-84.43341,319,1,6.6
119,Delta,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,ATL,33.640545,-84.43341,319,1,7.52
120,Delta,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,ATL,33.640545,-84.43341,319,1,8.28
121,Delta,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,ATL,33.640545,-84.43341,319,1,8.52
122,Delta,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,DTW,42.20911,-83.356346,319,1,9.37
123,American Airlines,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,CLT,35.220448,-80.94377,331,1,6.63
124,JetBlue Airways,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,JFK,40.645123,-73.78461,342,1,14.77
125,JetBlue Airways,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,BOS,42.36514,-71.01889,366,1,8.97
126,JetBlue Airways,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,BOS,42.36514,-71.01889,366,1,10.27
127,American Airlines,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,DFW,32.899193,-97.04005,394,1,7.35
128,American Airlines,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,DFW,32.899193,-97.04005,394,1,8.47
129,American Airlines,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,CLT,35.220448,-80.94377,418,1,6.35
130,American Airlines,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,CLT,35.220448,-80.94377,418,1,6.75
131,American Airlines,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,CLT,35.220448,-80.94377,418,1,7.85
132,American Airlines,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,CLT,35.220448,-80.94377,418,1,7.93
133,American Airlines,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,CLT,35.220448,-80.94377,418,1,8.7
134,United,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,IAH,29.9872,-95.34774,419,1,6.47
135,United,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,IAH,29.9872,-95.34774,419,1,6.65
136,United,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,ORD,41.97707,-87.901184,419,1,7.7
137,United,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,ORD,41.97707,-87.901184,419,1,7.83
138,American Airlines,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,DFW,32.899193,-97.04005,419,1,9.27
139,United,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,IAD,38.95216,-77.44883,459,1,7.93
140,Alaska Airlines,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,SEA,47.44359,-122.302505,582,1,10.5
141,American Airlines,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,CLT,35.220448,-80.94377,"1,077",1,6.73
142,American Airlines,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,CLT,35.220448,-80.94377,"1,077",1,8.25
143,American Airlines,CHS,32.885193,-80.03694,PHX,33.435184,-112.00506,CLT,35.220448,-80.94377,"1,077",1,9.88
144,Frontier Airlines,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,ZZZ,40,-100,179,0,3.7
145,American Airlines,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,CLT,35.220448,-80.94377,223,1,5.7
146,American Airlines,CHS,32.885193,-80.03694,DEN,39.84973,-104.67398,CLT,35.220448,-80.94377,223,1,6.5
