,Unnamed: 0,airline,departure,destination,layover,price,stops,travelTime,airlineCode,departureCode,destinationCode,layoverCode
94,94,American Airlines,CHS,ORD,PHL,358,1,7.83,61.0,67.0,71.0,86.0
95,95,Delta,CHS,ORD,ATL,385,1,3.98,81.0,67.0,71.0,45.0
96,96,Delta,CHS,ORD,ATL,385,1,4.02,81.0,67.0,71.0,45.0
97,97,Delta,CHS,ORD,ATL,385,1,4.5,81.0,67.0,71.0,45.0
98,98,Delta,CHS,ORD,ATL,385,1,4.88,81.0,67.0,71.0,45.0
99,99,Delta,CHS,ORD,ATL,385,1,5.82,81.0,67.0,71.0,45.0
100,100,Delta,CHS,ORD,ATL,385,1,7.05,81.0,67.0,71.0,45.0
101,101,JetBlue Airways,CHS,ORD,BOS,457,1,7.2,50.0,67.0,71.0,21.0
102,102,Delta,CHS,ORD,DTW,465,1,4.28,81.0,67.0,71.0,18.0
103,103,Delta,CHS,ORD,JFK,465,1,5.68,81.0,67.0,71.0,52.0
104,104,Delta,CHS,PHX,ATL,229,1,6.35,81.0,67.0,5.0,45.0
105,105,Delta,CHS,PHX,ATL,229,1,6.57,81.0,67.0,5.0,45.0
106,106,Delta,CHS,PHX,ATL,229,1,6.73,81.0,67.0,5.0,45.0
107,107,Delta,CHS,PHX,ATL,229,1,7.22,81.0,67.0,5.0,45.0
108,108,Delta,CHS,PHX,ATL,229,1,7.6,81.0,67.0,5.0,45.0
109,109,Delta,CHS,PHX,ATL,229,1,8.43,81.0,67.0,5.0,45.0
110,110,Delta,CHS,PHX,JFK,229,1,8.6,81.0,67.0,5.0,52.0
111,111,Delta,CHS,PHX,ATL,229,1,8.83,81.0,67.0,5.0,45.0
112,112,American Airlines,CHS,PHX,CLT,290,1,8.47,61.0,67.0,5.0,75.0
113,113,United,CHS,PHX,ORD,291,1,7.92,24.0,67.0,5.0,71.0
114,114,United,CHS,PHX,IAH,291,1,8.68,24.0,67.0,5.0,5.0
115,115,Frontier Airlines,CHS,PHX,DEN,312,1,7.0,32.0,67.0,5.0,67.0
116,116,United,CHS,PHX,IAH,317,1,8.97,24.0,67.0,5.0,5.0
117,117,Delta,CHS,PHX,ATL,319,1,6.52,81.0,67.0,5.0,45.0
118,118,Delta,CHS,PHX,ATL,319,1,6.6,81.0,67.0,5.0,45.0
119,119,Delta,CHS,PHX,ATL,319,1,7.52,81.0,67.0,5.0,45.0
120,120,Delta,CHS,PHX,ATL,319,1,8.28,81.0,67.0,5.0,45.0
121,121,Delta,CHS,PHX,ATL,319,1,8.52,81.0,67.0,5.0,45.0
122,122,Delta,CHS,PHX,DTW,319,1,9.37,81.0,67.0,5.0,18.0
123,123,American Airlines,CHS,PHX,CLT,331,1,6.63,61.0,67.0,5.0,75.0
124,124,JetBlue Airways,CHS,PHX,JFK,342,1,14.77,50.0,67.0,5.0,52.0
125,125,JetBlue Airways,CHS,PHX,BOS,366,1,8.97,50.0,67.0,5.0,21.0
126,126,JetBlue Airways,CHS,PHX,BOS,366,1,10.27,50.0,67.0,5.0,21.0
127,127,American Airlines,CHS,PHX,DFW,394,1,7.35,61.0,67.0,5.0,42.0
128,128,American Airlines,CHS,PHX,DFW,394,1,8.47,61.0,67.0,5.0,42.0
129,129,American Airlines,CHS,PHX,CLT,418,1,6.35,61.0,67.0,5.0,75.0
130,130,American Airlines,CHS,PHX,CLT,418,1,6.75,61.0,67.0,5.0,75.0
131,131,American Airlines,CHS,PHX,CLT,418,1,7.85,61.0,67.0,5.0,75.0
132,132,American Airlines,CHS,PHX,CLT,418,1,7.93,61.0,67.0,5.0,75.0
133,133,American Airlines,CHS,PHX,CLT,418,1,8.7,61.0,67.0,5.0,75.0
134,134,United,CHS,PHX,IAH,419,1,6.47,24.0,67.0,5.0,5.0
135,135,United,CHS,PHX,IAH,419,1,6.65,24.0,67.0,5.0,5.0
136,136,United,CHS,PHX,ORD,419,1,7.7,24.0,67.0,5.0,71.0
137,137,United,CHS,PHX,ORD,419,1,7.83,24.0,67.0,5.0,71.0
138,138,American Airlines,CHS,PHX,DFW,419,1,9.27,61.0,67.0,5.0,42.0
139,139,United,CHS,PHX,IAD,459,1,7.93,24.0,67.0,5.0,10.0
140,140,Alaska Airlines,CHS,PHX,SEA,582,1,10.5,40.0,67.0,5.0,54.0
141,141,American Airlines,CHS,PHX,CLT,"1,077",1,6.73,61.0,67.0,5.0,75.0
142,142,American Airlines,CHS,PHX,CLT,"1,077",1,8.25,61.0,67.0,5.0,75.0
143,143,American Airlines,CHS,PHX,CLT,"1,077",1,9.88,61.0,67.0,5.0,75.0
144,144,Frontier Airlines,CHS,DEN,ZZZ,179,0,3.7,32.0,67.0,67.0,73.0
145,145,American Airlines,CHS,DEN,CLT,223,1,5.7,61.0,67.0,67.0,75.0
146,146,American Airlines,CHS,DEN,CLT,223,1,6.5,61.0,67.0,67.0,75.0
147,147,American Airlines,CHS,DEN,CLT,223,1,8.2,61.0,67.0,67.0,75.0
148,148,Delta,CHS,DEN,ATL,239,1,6.48,81.0,67.0,67.0,45.0
149,149,Delta,CHS,DEN,ATL,239,1,7.38,81.0,67.0,67.0,45.0
150,150,Delta,CHS,DEN,ATL,239,1,7.48,81.0,67.0,67.0,45.0
151,151,Delta,CHS,DEN,ATL,239,1,7.58,81.0,67.0,67.0,45.0
152,152,Delta,CHS,DEN,ATL,239,1,8.07,81.0,67.0,67.0,45.0
153,153,United,CHS,DEN,ORD,264,1,8.72,24.0,67.0,67.0,71.0
154,154,American Airlines,CHS,DEN,CLT,288,1,6.0,61.0,67.0,67.0,75.0
155,155,American Airlines,CHS,DEN,CLT,288,1,6.83,61.0,67.0,67.0,75.0
156,156,American Airlines,CHS,DEN,CLT,288,1,7.6,61.0,67.0,67.0,75.0
157,157,United,CHS,DEN,IAH,307,1,6.08,24.0,67.0,67.0,5.0
158,158,Delta,CHS,DEN,ATL,307,1,6.38,81.0,67.0,67.0,45.0
159,159,Delta,CHS,DEN,ATL,307,1,6.43,81.0,67.0,67.0,45.0
160,160,United,CHS,DEN,ORD,307,1,6.45,24.0,67.0,67.0,71.0
161,161,Delta,CHS,DEN,ATL,307,1,6.47,81.0,67.0,67.0,45.0
162,162,United,CHS,DEN,ORD,307,1,6.88,24.0,67.0,67.0,71.0
163,163,United,CHS,DEN,ORD,307,1,7.72,24.0,67.0,67.0,71.0
164,164,American Airlines,CHS,DEN,CLT,348,1,6.58,61.0,67.0,67.0,75.0
165,165,American Airlines,CHS,DEN,CLT,348,1,6.63,61.0,67.0,67.0,75.0
166,166,American Airlines,CHS,DEN,CLT,348,1,8.08,61.0,67.0,67.0,75.0
167,167,JetBlue Airways,CHS,DEN,BOS,359,1,9.08,50.0,67.0,67.0,21.0
168,168,JetBlue Airways,CHS,DEN,BOS,359,1,10.38,50.0,67.0,67.0,21.0
169,169,American Airlines,CHS,DEN,DFW,370,1,6.32,61.0,67.0,67.0,42.0
170,170,Delta,CHS,DEN,ATL,399,1,5.0,81.0,67.0,67.0,45.0
171,171,Delta,CHS,DEN,ATL,399,1,5.38,81.0,67.0,67.0,45.0
172,172,Delta,CHS,DEN,ATL,399,1,5.9,81.0,67.0,67.0,45.0
173,173,Delta,CHS,DEN,ATL,399,1,6.0,81.0,67.0,67.0,45.0
174,174,United,CHS,DEN,IAD,399,1,6.38,24.0,67.0,67.0,10.0
175,175,Delta,CHS,DEN,ATL,399,1,7.07,81.0,67.0,67.0,45.0
176,176,Delta,CHS,DEN,ATL,399,1,8.0,81.0,67.0,67.0,45.0
177,177,United,CHS,DEN,IAD,426,1,7.63,24.0,67.0,67.0,10.0
178,178,United,CHS,DEN,IAH,435,1,6.53,24.0,67.0,67.0,5.0
179,179,United,CHS,DEN,EWR,435,1,7.65,24.0,67.0,67.0,39.0
180,180,United,CHS,DEN,EWR,435,1,9.17,24.0,67.0,67.0,39.0
